Date,PTO Policy Inventory Level,Fixed Order-Quantity Policy Inventory Level,E2E Policy Inventory Level,Order-Up-To Policy Inventory Level,PTO Policy Reorder Quantity,Fixed Order-Quantity Reorder Quantity,Order-Up-To Policy Reorder Quantity,E2E Reorder Quantity,PTO Policy Reorder Date,Fixed Order-Quantity Reorder Date,Order-Up-To Policy Reorder Date,E2E Reorder Date,PTO Policy Delivery Date,Fixed Order-Quantity Policy Delivery Date,Order-Up-To Policy Delivery Date,E2E Delivery Date
2025-01-16,69.60750459975634,115.16291931621281,29.425299719798755,142.18218897138985,,,,,No,No,No,No,No,No,No,No
2025-01-17,68.22943066237599,113.78484537883247,28.047225782418412,140.8041150340095,111.107742843407,75,57.81781102861015,59.90348250514835,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-18,61.95139372533438,107.50680844179087,21.7691888453768,134.5260780969679,,,,,No,No,No,No,No,No,No,No
2025-01-19,45.933363574932756,91.48877829138925,5.751158694975182,118.50804794656628,,,,,No,No,No,No,No,No,No,No
2025-01-20,42.478102328454284,88.03351704491078,2.2958974484967074,115.05278670008781,,,,,No,No,No,No,No,No,No,No
2025-01-21,134.41275162326536,143.86042349631487,43.02628640504914,153.69750418010204,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-22,126.32037388196065,135.76804575501015,34.933908663744425,145.60512643879733,,,,,No,No,No,No,No,No,No,No
2025-01-23,117.01665139360797,126.46432326665747,25.63018617539175,136.30140395044467,,,,,No,No,No,No,No,No,No,No
2025-01-24,109.04274229653353,118.49041416958303,17.656277078317306,128.3274948533702,,75,63.698596049555334,131.5034842541212,No,Yes,Yes,Yes,No,No,No,Yes
2025-01-25,92.76453915559658,102.21221102864608,1.378073937380357,112.04929171243326,,,,,No,No,No,No,No,No,No,No
2025-01-26,86.11973263144031,95.56740450448982,-5.26673258677591,105.404485188277,,,,,No,No,No,No,No,No,No,No
2025-01-27,71.00514911133877,155.45282098438827,111.12216814724374,153.98849771773078,,,,,No,No,No,No,No,Yes,Yes,No
2025-01-28,54.63640751988895,139.08407939293846,94.75342655579392,137.61975612628098,,,,,No,No,No,No,No,No,No,No
2025-01-29,42.17202815625543,126.61970002930495,82.28904719216041,125.15537676264746,,,,,No,No,No,No,No,No,No,No
2025-01-30,26.295974661562468,110.743646534612,66.41299369746744,109.27932326795451,,,,,No,No,No,No,No,No,No,No
2025-01-31,7.828223543285425,92.27589541633495,47.9452425791904,90.81157214967746,80.79613337470047,75,90.72067673204549,76.35783776473713,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-01,-7.704432708543475,76.74323916450605,32.412586327361495,75.27891589784856,,,,,No,No,No,No,No,No,No,No
2025-02-02,-22.428680697883372,62.01899117516615,17.688338338021595,60.55466790850866,,,,,No,No,No,No,No,No,No,No
2025-02-03,48.65302343586995,52.304561934218995,7.973909097074442,50.84023866756151,,,,,No,No,No,No,Yes,No,No,No
2025-02-04,38.84862935436416,42.500167852713204,-1.8304849844313509,41.03584458605572,,,,,No,No,No,No,No,No,No,No
2025-02-05,37.3357841504338,115.98732264878285,73.01450757637542,130.24367611417082,,,,,No,No,No,No,No,Yes,Yes,No
2025-02-06,22.8678668894066,101.51940538775565,58.54659031534822,115.77575885314363,,,,,No,No,No,No,No,No,No,No
2025-02-07,15.461532361223696,94.11307085957276,51.140255787165316,108.36942432496073,66.7468756673974,75,84.22424114685637,60.32293382428712,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-08,-8.00150285313715,70.65003564521191,27.67722057280447,84.90638911059989,,,,,No,No,No,No,No,No,No,No
2025-02-09,-17.210972307664573,61.44056619068449,18.467751118277047,75.69691965607247,,,,,No,No,No,No,No,No,No,No
2025-02-10,-18.879622835956543,59.77191566239252,16.799100589985077,74.0282691277805,,,,,No,No,No,No,No,No,No,No
2025-02-11,-32.58099388301021,121.07054461533886,63.42066336721853,144.5511392275832,,,,,No,No,No,No,No,Yes,Yes,No
2025-02-12,21.576807092978413,108.48146992393008,50.83158867580975,131.9620645361744,,,,,No,No,No,No,Yes,No,No,No
2025-02-13,14.806017000443372,101.71067983139504,44.0607985832747,125.19127444363937,,,,,No,No,No,No,No,No,No,No
2025-02-14,5.560395826257595,92.46505865720927,34.815177409088925,115.9456532694536,155.1219750033928,75,74.80872555636063,65.73447884557172,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-15,-14.714901794821033,72.18976103613065,14.539879788010296,95.67035564837497,,,,,No,No,No,No,No,No,No,No
2025-02-16,-21.848447054648428,65.05621577630325,7.406334528182901,88.53681038854756,,,,,No,No,No,No,No,No,No,No
2025-02-17,-32.26886427537525,54.63579855557643,-3.0140826925439175,78.11639316782075,,,,,No,No,No,No,No,No,No,No
2025-02-18,117.89628317370261,124.67897100126149,57.76356859871285,147.96829116986643,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-19,100.35316183888439,107.13584966644326,40.22044726389463,130.42516983504822,,,,,No,No,No,No,No,No,No,No
2025-02-20,85.43217944928882,92.2148672768477,25.299464874299062,115.50418744545266,,,,,No,No,No,No,No,No,No,No
2025-02-21,81.55279624004282,88.3354840676017,21.420081665053065,111.62480423620666,,75,84.49581255454734,79.84521675295915,No,Yes,Yes,Yes,No,No,No,Yes
2025-02-22,69.37833574917553,76.16102357673441,9.245621174185779,99.45034374533937,,,,,No,No,No,No,No,No,No,No
2025-02-23,65.79022590530765,72.57291373286652,5.65751133031789,95.86223390147148,,,,,No,No,No,No,No,No,No,No
2025-02-24,54.60778754677115,136.39047537433004,74.32028972474053,169.17560809748232,,,,,No,No,No,No,No,Yes,Yes,No
2025-02-25,45.84081031860349,127.62349814616238,65.55331249657287,160.40863086931466,,,,,No,No,No,No,No,No,No,No
2025-02-26,36.43346997437058,118.21615780192947,56.145972152339965,151.00129052508174,,,,,No,No,No,No,No,No,No,No
2025-02-27,19.525340430746635,101.30802825830553,39.23784260871602,134.0931609814578,,,,,No,No,No,No,No,No,No,No
2025-02-28,0.4388049576136268,82.22149278517252,20.151307135583014,115.00662550832479,,,,,No,No,No,No,No,No,No,No
2025-03-01,-15.83311896872339,65.9495688588355,3.879383209245997,98.73470158198776,,,,,No,No,No,No,No,No,No,No
