Date,SS Policy Inventory Level,"Fixed Order,Quantity Policy Inventory Level",Labelling Policy Inventory Level,Order-Up-To Policy Inventory Level,SS Policy Reorder Quantity,"Fixed Order,Quantity Reorder Quantity",Order-Up-To Policy Reorder Quantity,Labelling Reorder Quantity,SS Policy Reorder Date,"Fixed Order,Quantity Reorder Date",Order-Up-To Policy Reorder Date,Labelling Reorder Date,SS Policy Delivery Date,"Fixed Order,Quantity Policy Delivery Date",Order-Up-To Policy Delivery Date,Labelling Delivery Date
2025-02-01,-7.992082275598108,85.0,11.0,117.0,,,,,No,No,No,No,No,No,No,No
2025-02-02,-17.992082275598108,75.0,1.0,107.0,,,,,No,No,No,No,No,No,No,No
2025-02-03,66.00791772440189,137.0,84.0,156.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-04,57.00791772440189,128.0,75.0,147.0,,,,,No,No,No,No,No,No,No,No
2025-02-05,48.00791772440189,119.0,66.0,138.0,,,,,No,No,No,No,No,No,No,No
2025-02-06,42.00791772440189,113.0,60.0,132.0,,,,,No,No,No,No,No,No,No,No
2025-02-07,32.00791772440189,103.0,50.0,122.0,53.0,75,68.0,46.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-08,20.007917724401892,91.0,38.0,110.0,,,,,No,No,No,No,No,No,No,No
2025-02-09,3.007917724401892,74.0,21.0,93.0,,,,,No,No,No,No,No,No,No,No
2025-02-10,-6.992082275598108,64.0,11.0,83.0,,,,,No,No,No,No,No,No,No,No
2025-02-11,-15.992082275598108,55.0,2.0,74.0,,,,,No,No,No,No,No,No,No,No
2025-02-12,28.007917724401892,121.0,39.0,133.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-13,25.007917724401892,118.0,36.0,130.0,,,,,No,No,No,No,No,No,No,No
2025-02-14,15.007917724401892,108.0,26.0,120.0,42.0,75,70.0,85.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-15,5.007917724401892,98.0,16.0,110.0,,,,,No,No,No,No,No,No,No,No
2025-02-16,-0.9920822755981078,92.0,10.0,104.0,,,,,No,No,No,No,No,No,No,No
2025-02-17,-9.992082275598108,83.0,1.0,95.0,,,,,No,No,No,No,No,No,No,No
2025-02-18,21.007917724401892,147.0,75.0,154.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-19,12.007917724401892,138.0,66.0,145.0,,,,,No,No,No,No,No,No,No,No
2025-02-20,2.007917724401892,128.0,56.0,135.0,,,,,No,No,No,No,No,No,No,No
2025-02-21,-8.992082275598108,117.0,45.0,124.0,73.0,75,65.0,38.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-22,-24.992082275598108,101.0,29.0,108.0,,,,,No,No,No,No,No,No,No,No
2025-02-23,-33.99208227559811,92.0,20.0,99.0,,,,,No,No,No,No,No,No,No,No
2025-02-24,-43.99208227559811,82.0,10.0,89.0,,,,,No,No,No,No,No,No,No,No
2025-02-25,-59.99208227559811,66.0,-6.0,73.0,,,,,No,No,No,No,No,No,No,No
2025-02-26,6.007917724401892,134.0,25.0,131.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-27,1.0079177244018922,129.0,20.0,126.0,,,,,No,No,No,No,No,No,No,No
2025-02-28,-3.992082275598108,124.0,15.0,121.0,,,,,No,No,No,No,No,No,No,No
2025-03-01,-7.992082275598108,120.0,0.0,117.0,,,,,No,No,No,No,No,No,No,No
